COUNTY_CODE|STATENAME|COUNTY|MA_REGION_CODE|MA_REGION|PDP_REGION_CODE|PDP_REGION
10370|Florida|Levy|09|Florida|11|Florida
10380|Florida|Liberty|09|Florida|11|Florida
10390|Florida|Madison|09|Florida|11|Florida
10400|Florida|Manatee|09|Florida|11|Florida
10410|Florida|Marion|09|Florida|11|Florida
10420|Florida|Martin|09|Florida|11|Florida
10430|Florida|Monroe|09|Florida|11|Florida
10440|Florida|Nassau|09|Florida|11|Florida
10450|Florida|Okaloosa|09|Florida|11|Florida
10460|Florida|Okeechobee|09|Florida|11|Florida
10470|Florida|Orange|09|Florida|11|Florida
10480|Florida|Osceola|09|Florida|11|Florida
10490|Florida|Palm Beach|09|Florida|11|Florida
10500|Florida|Pasco|09|Florida|11|Florida
10510|Florida|Pinellas|09|Florida|11|Florida
10520|Florida|Polk|09|Florida|11|Florida
10530|Florida|Putnam|09|Florida|11|Florida
10540|Florida|St. Johns|09|Florida|11|Florida
10550|Florida|St. Lucie|09|Florida|11|Florida
10560|Florida|Santa Rosa|09|Florida|11|Florida
10570|Florida|Sarasota|09|Florida|11|Florida
10580|Florida|Seminole|09|Florida|11|Florida
10590|Florida|Sumter|09|Florida|11|Florida
10600|Florida|Suwannee|09|Florida|11|Florida
10610|Florida|Taylor|09|Florida|11|Florida
10620|Florida|Union|09|Florida|11|Florida
10630|Florida|Volusia|09|Florida|11|Florida
10640|Florida|Wakulla|09|Florida|11|Florida
10650|Florida|Walton|09|Florida|11|Florida
10660|Florida|Washington|09|Florida|11|Florida
11000|Georgia|Appling|08|Georgia and South Carolina|10|Georgia
11010|Georgia|Atkinson|08|Georgia and South Carolina|10|Georgia
11011|Georgia|Bacon|08|Georgia and South Carolina|10|Georgia
11020|Georgia|Baker|08|Georgia and South Carolina|10|Georgia
11030|Georgia|Baldwin|08|Georgia and South Carolina|10|Georgia
11040|Georgia|Banks|08|Georgia and South Carolina|10|Georgia
11050|Georgia|Barrow|08|Georgia and South Carolina|10|Georgia
11060|Georgia|Bartow|08|Georgia and South Carolina|10|Georgia
11070|Georgia|Ben Hill|08|Georgia and South Carolina|10|Georgia
11080|Georgia|Berrien|08|Georgia and South Carolina|10|Georgia
11090|Georgia|Bibb|08|Georgia and South Carolina|10|Georgia
11100|Georgia|Bleckley|08|Georgia and South Carolina|10|Georgia
11110|Georgia|Brantley|08|Georgia and South Carolina|10|Georgia
11120|Georgia|Brooks|08|Georgia and South Carolina|10|Georgia
11130|Georgia|Bryan|08|Georgia and South Carolina|10|Georgia
11140|Georgia|Bulloch|08|Georgia and South Carolina|10|Georgia
11150|Georgia|Burke|08|Georgia and South Carolina|10|Georgia
11160|Georgia|Butts|08|Georgia and South Carolina|10|Georgia
11161|Georgia|Calhoun|08|Georgia and South Carolina|10|Georgia
11170|Georgia|Camden|08|Georgia and South Carolina|10|Georgia
